mezzy,0
1383,1
1366,2
1349,3
1219,4
1228,5
1238,6
1266,7
1256,8
1247,9
1246,9
1236,10
1227,11
1218,12
1209,13
1200,14
1209,15
1190,16
1181,17
1190,19
1200,20
1218,21
1227,22
1218,23
1209,24
1273,26
1282,27
1273,28
1264,29
1255,30
1264,31
1273,32
1265,33
1256,34
1266,35
1257,36
1247,37
1238,38
1229,39
1248,40
1257,41
1276,42
1285,43
1310,44
1319,45
1328,46
1337,47
1346,48
1337,49
1346,50
1355,51
1347,52
1337,53
1328,54
1319,55
1310,56
1301,57
1309,58
1300,59
1299,60
1280,61
1269,62
1287,63
1278,64
1287,65
1297,66
1306,67
1315,68
1324,69
1333,70
1343,71
1333,72
1324,73
1334,74
1343,75
1352,76
1343,77
1352,78
1343,79
1352,80
1361,81
1352,82
1343,83
1352,84
1334,85
1325,86
1308,87
1317,88
1325,89
1334,90
1325,91
1316,92
1307,93
1316,94
1307,95
1316,96
1326,97
1335,98
1316,99
1307,100
1297,101
1279,102
1288,103
1279,104
1269,105
1260,106
1269,107
1259,108
1268,109
1258,110
1249,111
1239,112
