Drov3r,0
1130,1
1131,2
1147,3
1178,4
1209,5
1193,6
1209,7
1222,8
1236,9
1250,10
1278,11
1265,12
1252,13
1265,14
1252,15
1253,16
1265,17
1241,18
1230,19
1218,20
1230,21
1241,22
1242,23
1252,24
1242,25
1251,27
1262,28
1251,29
1261,30
1251,31
1262,32
1252,33
1262,34
1271,35
1262,36
1253,37
1262,38
1281,39
1290,40
1300,41
1310,42
1319,43
1328,44
1337,45
1356,46
1365,47
1385,48
1375,49
1365,50
1374,51
1384,52
1394,53
1404,54
1395,55
1404,56
1385,57
1394,58
1404,59
1394,60
1384,61
1394,62
1403,63
1394,64
1385,65
1376,66
1375,67
1366,68
1356,69
1365,70
1375,71
1365,72
1374,73
1384,74
1374,75
1384,76
1374,77
